OBJECTID,VAPID,LandmkName,Address,City,State,Zip,Phone,URL,X,Y,LOC,LastCheck,PlaceType,SrcTyp,Src,FIPScode,FIPSname
1,51153000038874,Bull Run Library,8051 Ashton Avenue,Manassas,VA,20109,703-792-4500,https://www.pwcva.gov/department/library/branch-locations-hours,-77.52050983,38.78697117,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
2,51153000048229,Independent Hill Library,14418 Bristow Road,Manassas,VA,20112,703-792-5668,https://www.pwcva.gov/department/library/branch-locations-hours,-77.44550806,38.63738625,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
3,51685000004508,Manassas Park City Library,"100 Park Central Plaza, Suite 100",Manassas Park,VA,20111,703-335-8842,https://manassasparkcitylibrary.org/,-77.4415281,38.76638925,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51685,Manassas Park City
4,51153000055882,Manassas Central Community Library,8601 Mathis Avenue,Manassas,VA,20110,703-792-8360,https://www.pwcva.gov/department/library/branch-locations-hours,-77.45492424,38.76873727,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
5,51107000011433,Ashburn Library,43316 Hay Road,Ashburn,VA,20147,703-737-8100,https://library.loudoun.gov/Ashburn,-77.50261245,39.04616637,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
6,51061000006231,John Marshall Library,4133 Rectortown Road,Marshall,VA,20115,540-422-8500,https://fauquierlibrary.org/about-us-2/library-locations/,-77.85487009,38.86845658,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51061,Fauquier County
7,51107000095620,Brambleton Library,22850 Brambleton Plaza,Brambleton,VA,20148,571-258-3998,https://library.loudoun.gov/Brambleton,-77.53637635,38.98497199,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
8,51059000254125,Centreville Regional Library,14200 St. Germain Drive,Centreville,VA,20121,703-830-2223,https://www.fairfaxcounty.gov/library/branches/centreville-regional-location,-77.44088172,38.83748423,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
9,51107000082482,Gum Spring Library,24600 Millstream Drive,Stone Ridge,VA,20105,571-258-3838,https://library.loudoun.gov/GumSpring,-77.54568065,38.93754144,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
10,51107000025825,Sterling Library,"22330 S. Sterling Blvd, Suite A117",Sterling,VA,20164,571-258-3309,https://library.loudoun.gov/Sterling,-77.40685507,38.99805381,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
11,51059000330697,Herndon Fortnightly Library,768 Center Street,Herndon,VA,20170,703-437-8855,https://www.fairfaxcounty.gov/library/branches/herndon-fortnightly-location,-77.38704996,38.9718509,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
12,51153000186877,Nokesville Neighborhood Library,12993 Fitzwater Drive,Nokesville,VA,20181,703-792-5665,https://www.pwcva.gov/department/library/branch-locations-hours,-77.58229851,38.69930367,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
13,51107000014443,Lovettsville Library,12 North Light Street,Lovettsville,VA,20180,703-737-8050,https://library.loudoun.gov/Lovettsville,-77.6355853,39.27426776,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
14,51153000174228,Haymarket Gainesville Library,14870 Lightner Road,Haymarket,VA,20169,703-792-8700,https://www.pwcva.gov/department/library/branch-locations-hours,-77.63214517,38.83660671,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
15,51107000015789,Purcellville Library,220 East Main Street,Purcellville,VA,20132,703-737-8490,https://library.loudoun.gov/Purcellville,-77.71235971,39.13641853,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
16,51107000019446,Rust Library,"380 Old Waterford Road, NW",Leesburg,VA,20176,703-777-0323,https://library.loudoun.gov/Rust,-77.56784765,39.12358779,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
17,51059000326492,Kings Park Library,9000 Burke Lake Road,Burke,VA,22015,703-978-5600,https://www.fairfaxcounty.gov/library/branches/kings-park-location,-77.25634958,38.80745997,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
18,51059000159629,Burke Centre Library,5935 Freds Oak Road,Burke,VA,22015,703-249-1520,https://www.fairfaxcounty.gov/library/branches/burke-centre-location,-77.31718281,38.78735839,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
19,51059000175185,Pohick Regional Library,6450 Sydenstricker Road,Burke,VA,22015,703-644-7333,https://www.fairfaxcounty.gov/library/branches/pohick-regional-location,-77.26796216,38.77494959,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
20,51059000005810,Reston Regional Library,11925 Bowman Towne Drive,Reston,VA,20190,703-689-2700,https://www.fairfaxcounty.gov/library/branches/reston-regional-location,-77.35865439,38.96165421,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
21,51153000163602,Dumfries Neighborhood Library,18115 Triangle Shopping Plaza,Dumfries,VA,22026,703-792-5678,https://www.pwcva.gov/department/library/branch-locations-hours,-77.33273029,38.55930119,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
22,51153000063850,Montclair Library,5049 Waterway Drive,Dumfries,VA,22025,703-792-8740,https://www.pwcva.gov/department/library/branch-locations-hours,-77.35724531,38.6102961,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
23,51107000039655,Cascades Library,21030 Whitfield Place,Potomac Falls,VA,20165,703-444-3228,https://library.loudoun.gov/Cascades,-77.39476842,39.03321963,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51107,Loudoun County
24,51600000004411,City of Fairfax Regional Library,10360 North Street,Fairfax,VA,22030,703-293-6227,https://www.fairfaxcounty.gov/library/branches/city-of-fairfax-regional,-77.30362953,38.84707249,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51600,Fairfax City
25,51059000205332,Thomas Jefferson Library,7415 Arlington Boulevard,Falls Church,VA,22042,703-573-1060,https://www.fairfaxcounty.gov/library/branches/thomas-jefferson-location,-77.20171316,38.86540259,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
26,51059000162079,Woodrow Wilson Library,6101 Knollwood Drive,Falls Church,VA,22041,703-820-8774,https://www.fairfaxcounty.gov/library/branches/woodrow-wilson-location,-77.14299307,38.85127569,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
27,51059000267238,Great Falls Library,9830 Georgetown Pike,Great Falls,VA,22066,703-757-8560,https://www.fairfaxcounty.gov/library/branches/great-falls-location,-77.28699377,38.99833268,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
28,51059000248156,Tysons-Pimmit Regional Library,7584 Leesburg Pike,Falls Church,VA,22043,703-790-8088,https://www.fairfaxcounty.gov/library/branches/tysons-pimmit-regional-location,-77.20643773,38.90691645,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
29,51610000002214,Mary Riley Styles Public Library,120 North Virginia Avenue,Falls Church,VA,22046,703-248-5030,https://www.mrspl.org/,-77.17459534,38.88583186,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51610,Falls Church City
30,51059000298477,Oakton Library,10304 Lynnhaven Place,Oakton,VA,22124,703-242-4020,https://www.fairfaxcounty.gov/library/branches/oakton-location,-77.30231608,38.88394854,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
31,51059000265490,Lorton Library,9520 Richmond Highway,Lorton,VA,22079,703-339-7385,https://www.fairfaxcounty.gov/library/branches/lorton-location,-77.21412939,38.69808433,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
32,51059000197526,Richard Byrd Library,7250 Commerce Street,Springfield,VA,22150,703-451-8055 ,https://www.fairfaxcounty.gov/library/branches/richard-byrd-location,-77.19203871,38.77961807,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
33,51059000020243,Dolley Madison Library,1244 Oak Ridge Avenue,McLean,VA,22101,703-356-0770,https://www.fairfaxcounty.gov/library/branches/dolley-madison-location,-77.18463856,38.93991156,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
34,51059000029865,Patrick Henry Library,"101 Maple Avenue, East",Vienna,VA,22180,703-938-0405,https://www.fairfaxcounty.gov/library/branches/patrick-henry-location,-77.26466163,38.90158246,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
35,51061000025110,Warrenton Library,11 Winchester Street,Warrenton,VA,20186,(540) 422-8500,https://fauquierlibrary.org/about-us-2/library-locations/,-77.79532798,38.71441398,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51061,Fauquier County
36,51153000120844,Potomac Library,2201 Opitz Boulevard,Woodbridge,VA,22191,703-792-8330,https://www.pwcva.gov/department/library/branch-locations-hours,-77.28063563,38.63270647,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
37,51013000000357,Arlington Central Library,1015 North Quincy Street,Arlington,VA,22201,703-228-5990,https://library.arlingtonva.us/locations/central-library/,-77.10728291,38.88375917,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
38,51153000140726,Lake Ridge Neighborhood Library,2239 Old Bridge Road,Woodbridge,VA,22192,703-792-5675,https://www.pwcva.gov/department/library/branch-locations-hours,-77.28141936,38.67612217,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
39,51013000016256,Glencarlyn Library,300 South Kensington Street,Arlington,VA,22204,703-228-6548,https://library.arlingtonva.us/locations/glencarlyn-branch-library/,-77.12591222,38.86360119,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
40,51013000008937,Courthouse Library,2100 Clarendon Boulevard,Arlington,VA,22201,703-228-3352,https://library.arlingtonva.us/locations/courthouse-library/,-77.08534304,38.89048739,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
41,51013000036806,Columbia Pike Library,816 South Walter Reed Drive,Arlington,VA,22204,703-228-5710,https://library.arlingtonva.us/locations/columbia-pike-branch-library/,-77.08841684,38.86453102,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
42,51510000032794,"Charles E. Beatley, Jr. Central Library",5005 Duke Street,Alexandria,VA,22304,703-746-1702,https://alexlibraryva.org/beatley,-77.11750097,38.8123771,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51510,Alexandria City
43,51510000021934,Ellen Coolidge Burke Branch Library,4701 Seminary Road,Alexandria,VA,22304,703-746-1704,https://alexlibraryva.org/burke,-77.1099605,38.82785432,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51510,Alexandria City
44,51013000040516,Shirlington Library,4200 Campbell Avenue,Arlington,VA,22206,703-228-6545,https://library.arlingtonva.us/locations/shirlington-branch-library/,-77.09013208,38.84100429,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51013,Arlington County
45,51510000027805,"James M. Duncan, Jr. Branch Library",2501 Commonwealth Avenue,Alexandria,VA,22301,703-746-1705,https://alexlibraryva.org/duncan,-77.06071912,38.82782241,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51510,Alexandria City
46,51059000059794,Sherwood Regional Library,2501 Sherwood Hall Lane,Alexandria,VA,22306,703-765-3645 ,https://www.fairfaxcounty.gov/library/branches/sherwood-regional-location,-77.07487413,38.74348043,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
47,51153000085406,Prince William Administrative Support Center,13083 Chinn Park Drive,Prince William,VA,22192,703-792-6100,https://www.pwcva.gov/department/library/branch-locations-hours,-77.3334007,38.67022182,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
